gene	module
CFH	turquoise
FUCA2	blue
NFYA	brown
NIPAL3	turquoise
LAS1L	turquoise
ANKIB1	turquoise
RAD52	pink
BAD	turquoise
LAP3	blue
CD99	blue
HS3ST1	turquoise
HECW1	greenyellow
MAD1L1	blue
M6PR	blue
ALS2	turquoise
CASP10	turquoise
NDUFAF7	brown
SARM1	grey
POLDIP2	darkgreen
PLXND1	blue
AK2	lightcyan1
PDK4	yellow
UPF1	turquoise
POLR2J	darkturquoise
LIG3	blue
RPAP3	orange
ACSM3	turquoise
CIAPIN1	greenyellow
CREBBP	blue
GCFC2	turquoise
WDR54	turquoise
CROT	turquoise
ITGAL	blue
ZFX	blue
CRLF1	turquoise
MAP3K14	white
ZNF263	blue
AGK	salmon
FARP2	royalblue
DBF4	brown
PAF1	pink
ARSD	blue
PROM1	turquoise
DNAH9	turquoise
KIAA0100	lightyellow
GAS7	blue
TKTL1	salmon
DNAJC11	darkolivegreen
MYLIP	turquoise
JARID2	blue
DLEC1	turquoise
SYPL1	blue
CYB561	turquoise
SS18L2	turquoise
CRY1	turquoise
ST3GAL1	blue
IL32	green
PKD1	turquoise
CSDE1	brown
FAM76A	turquoise
VTA1	black
RANBP9	blue
SPRTN	blue
UQCRC1	lightsteelblue1
NCAPD2	turquoise
NISCH	lightcyan1
STAB1	blue
IDS	brown
LRRC23	turquoise
BTK	blue
FYN	green
HIVEP2	pink
TSPAN9	turquoise
APBA3	magenta
ANOS1	floralwhite
AKAP8L	grey
PTBP1	blue
LARS2	blue
PLAUR	blue
DCN	yellow
QPCTL	skyblue3
PPP5C	grey
TMEM159	turquoise
MAP4K5	grey
MVP	grey
DNASE1L1	blue
HEBP1	greenyellow
GPRC5A	red
MAMLD1	blue
CD6	saddlebrown
TACC3	blue
POLA2	tan
ZC3H3	darkmagenta
COX15	blue
CCDC88C	turquoise
WAS	blue
BID	blue
XYLT2	brown
IL20RA	turquoise
RALBP1	royalblue
CNTN1	salmon
CD74	blue
HGF	tan
ZRANB1	brown
MNAT1	turquoise
SAMD4A	yellow
RUNX3	green
MRE11	turquoise
OSBPL5	turquoise
FHL1	plum1
ZNF839	lightyellow
ZDHHC6	turquoise
GRAMD1B	green
RNH1	grey
BIRC3	blue
SNAPC1	blue
DEF6	magenta
PLEKHO1	blue
GCLM	blue
CCDC28A	blue
RRAGD	blue
HSF2	lightsteelblue1
PHF20	blue
TOMM34	blue
FAS	brown
CD44	blue
AGPAT4	blue
SLAMF7	royalblue
BTN3A1	blue
PRKCH	green
SH2D2A	green
TNFRSF1B	blue
BRD9	grey
ARNTL2	blue
TFB1M	turquoise
HMGB3	turquoise
IKZF2	turquoise
PNPLA6	blue
ABCF2	blue
UBA6	brown
SLC4A7	royalblue
RNF19A	turquoise
PEX3	midnightblue
NSMAF	orange
ADSS	turquoise
STAP1	black
MFAP3	turquoise
MRI1	darkgrey
VCAN	blue
DNAH5	turquoise
RIPOR1	grey60
PHLPP2	turquoise
PQLC2	magenta
CTNS	midnightblue
PHF23	turquoise
INPP4A	brown
RAB27B	turquoise
